link,line,dir,order,from_nlc,from_asc,from_station,to_nlc,to_asc,to_station,total,early,am_peak,midday,pm_peak,evening,late,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,9629.266422652454,327.49172670495705,2574.7025977361154,3030.4946681745228,2536.918018892269,900.1224408977939,259.53697024679275,4.009967403672877,10.075774128605502,18.562011789242245,26.249543445998324,40.94763552532072,52.15904188819882,71.93378838313681,103.55396414078169,135.58774238270593,151.89932936851955,187.61001790938775,211.15565005323703,242.70728610384117,253.35180459894505,271.83913416856615,270.9518048744957,256.9664085635476,222.7746405734786,197.1587525995693,172.70002653982164,146.40607652534425,132.9327865964159,118.844261798717,115.33889186946026,114.43814200037205,112.8441391063084,116.21501734122224,116.00270097246259,121.74315767920886,123.42001755423,129.09566124474432,127.90884220887766,130.01372395823566,124.46845587738396,123.26664195936779,120.31008818436639,122.25277423387104,121.06808226029531,127.08276839248525,131.0805741637992,131.90182586081062,124.60396368932139,145.57195633929808,153.6841183579242,157.41978888475475,176.1452511472793,210.09093851482467,221.150064851716,234.3077074920696,259.0701051700486,260.67751909817423,247.6404460272961,225.26204116919376,209.77145273271248,177.8611271999192,157.52157660428003,137.6090382457513,120.10354693605044,102.44196711592234,90.83249538844149,77.08396167106487,68.4561728711767,62.524623873276475,55.43805608830054,50.98952930680665,47.24281872354844,44.8321548751099,42.568075802344815,40.89093843346448,38.02295217376333,36.45185826543279,33.11229535485387,28.344283927868307,24.194102213027843,20.83569251999662,15.441676023381312,10.067233443242364,6.802020033687893,4.1438252513116405,1.230092606762326,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,12904.870626531641,380.36866979596505,3135.086887737185,4210.1654571325735,3542.1215931998754,1281.5465527427864,355.5814659232581,4.8628581001363065,12.74887987939365,23.384980380997423,33.46295897357025,50.9437480945664,63.714430249472706,80.12033693774515,111.13047718008318,150.1315672577523,178.2067118817867,205.98716445632712,258.98054100295496,287.52274637589994,315.32494106109436,322.2632805887197,338.35888788547766,309.32587726642237,288.1758837756078,249.0413628861953,231.76792329894693,203.67476661378143,185.98695054054286,169.709083481572,161.70968553992995,158.15244426415452,155.17070667841705,157.4577075894281,156.2751700939201,161.8950252867791,164.9893345683809,170.32589741361514,172.10727209755044,175.03162387658668,171.0772557190991,169.5815787710747,168.61097139278797,169.7400645839495,169.6573357149986,177.38101127729718,183.51685883334682,185.86052636492195,188.9618798062888,207.47370503698227,225.81860158716802,235.2049637008599,254.78034863922304,303.6157703658351,317.9411331043265,323.50706082350325,353.10880352177816,359.5886149342977,327.5153315070722,304.7397080141243,288.14969008233675,254.0741551754195,219.89601333109925,192.54456818404088,170.9469040974547,147.32384564222374,122.23648750251604,109.76416256654795,98.11351304268614,89.72795638391833,80.46953148847405,75.31704470408191,70.16520267152413,64.29511411914483,60.64222234017378,56.5031041725302,51.54446348085116,48.14446578828476,46.07853742127211,39.31743106006375,32.12861177690486,25.90009058462329,22.069108220414577,13.38178096200164,9.297764389619413,7.049871731470264,4.166236335222093,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,33786.80056730545,890.1994666220369,9964.195112585821,9983.737324701384,8820.051906902894,3111.1402809861747,1017.4764755071326,6.440641535868901,10.262676869841398,25.351075776402627,50.2241206479711,90.1744059679547,157.60395193295398,226.14305610750458,323.9995377835396,448.7777770023216,578.0707157638857,728.5761689324486,885.4747029953362,1017.8404728320262,1112.217043817177,1132.7749187358909,1034.7411945764513,958.4045015277362,820.3705450556599,675.0461153706079,571.9009559762794,543.0662544812453,473.2473626386386,447.8759553810742,425.61628616303256,419.04623251778986,399.87467177070687,403.0340449676705,400.30010955249406,406.5385869792701,405.8047740115829,409.1754123728954,401.99813138932564,397.1920394286511,384.9077656539297,381.32339131525185,375.0651857877796,375.1025835429537,377.84729903062384,395.0136228188264,404.5284287700966,416.77020808733016,414.9581017675448,444.20144318799163,481.24943308468073,528.0377747243658,597.7485218246297,682.7813688241265,740.2809691539541,788.9007033064029,865.1667191184558,862.9865572535773,852.2189797322246,845.6952462518268,786.0139402114197,671.4969674927681,598.7241590091422,505.5718908254628,400.96764119563807,336.5442914115866,286.13092306596,243.51410640504682,221.9075462574712,208.21841538231723,193.21774149226013,186.8197305023078,182.2504135672657,176.2901216247645,169.70745925609378,167.50934957718994,162.23229665665824,147.17144421984298,134.8712158194671,116.32811449553114,92.537226867574,67.13359714266306,53.65122170390408,35.093828571020474,21.183789697264935,13.046109056838729,6.718281699177863,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,37519.12002028799,912.179134098749,9700.829600144352,11114.973941788729,10605.730217372411,3817.933388118734,1367.4737387650096,10.135797494013806,14.405027129977672,30.420379089373736,57.75105002823132,99.71137182407793,150.10660502666627,232.8118111444813,316.8370923619271,432.7642350865551,582.5573517915612,707.7937682222623,872.5939108944443,1003.1711057123558,1060.8401847092323,1059.2622108290027,1007.0941952627637,899.1237816708839,791.9471071968726,689.5327799623615,594.1489688060593,557.1361130664772,501.1834618142287,462.2024590948749,447.3830707356058,438.7552531077302,425.3231567147433,428.3947097969355,430.7560452343897,437.16405457036035,441.9555340899983,446.9998753374,444.0347579879224,444.3408735810411,433.8620771545967,429.91563596135694,426.357907100412,426.24876228017996,428.1394635496637,446.7466669891596,456.81621752695685,475.2863956767308,516.806287484447,558.7976574820201,610.3675054514965,662.4883788827226,712.0256438680673,774.7625400414207,890.4642799168413,952.2213041735063,1003.0361096260832,1085.8381601246178,1077.95399717092,991.849162915226,917.9886783474748,835.5799147757358,701.5220475297964,593.0352808743869,493.1884272080745,415.47217948938317,352.1440794514047,303.7474153917828,273.2315618790717,258.539271656444,241.1787453672881,232.4001980240665,221.46347514500462,217.545852601743,215.98690103008443,217.33780187376,210.76929805428026,199.24485427163256,186.59555608692227,159.14756582763775,127.40437831453728,96.73309793190592,73.74859382522666,45.0967051996319,28.03621220077144,15.809291804048376,7.5503833746552305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,43440.72010181094,1060.5212035669924,10711.799087197358,12685.470952746777,12179.653617946258,4751.572082413265,2051.7031579403083,12.19831606804152,17.680209804395886,36.307172579585064,61.056782611201584,109.82798680761393,177.9199728569786,273.80999898240157,371.72076385677434,510.57351852602784,643.4709274347433,804.8823421992532,923.227978977893,1113.471111971788,1166.1442748151746,1189.0937088867247,1092.115660286391,1028.0527523658077,852.4816818096118,742.6658734086051,645.619256515337,609.0057172490417,552.6299914905094,516.2659427975517,504.19079596975456,490.45391967571663,475.61428934163376,479.0588347226255,483.3586120200749,489.65197082184983,499.86640410047966,506.27634028853583,505.4903416506959,506.0016265958994,499.9135307319594,497.43079306336443,499.08157719972564,499.51357440302894,506.6747967884868,527.6844996211781,542.8205571944096,561.7692978185814,586.87124764754,659.0691274998762,686.7771640542574,733.6234844697174,823.1579497388502,919.5671668790726,980.2527002475528,1117.5838769412528,1179.2220422736184,1194.3569097651273,1200.807577902973,1173.3865037572002,1047.5692875249397,958.0151262400448,852.110992205908,715.2170355519362,575.4228691708701,492.83063395688134,424.6845599859378,372.96809692849,338.18769145330026,325.8055125729395,309.2986906762537,301.0121084650032,292.1995465696397,294.01807151077776,309.92726557123444,327.2368176871508,322.37856785558273,307.7856021246067,288.6242697427522,236.77601997918146,181.7245151866026,139.30527001905824,106.70140972138631,65.3872772764815,41.22231314356465,23.24178782910248,11.319307374839113,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,52055.54217576492,945.952242333856,9002.247125980366,14124.5739622445,14982.20379388402,7982.938604675341,5017.626446646822,0.0,17.833499704295033,34.726912567483176,58.96495680183774,107.04421321714199,170.81420488402256,236.34875875590484,320.21969640317064,437.7577795970725,541.1739182156573,680.345360940994,782.0770936583726,919.5301413941193,962.429564679578,977.6772954463016,909.5692853882775,850.7343629354359,730.6725652247577,638.5597541800975,571.7200043197024,534.6433266324676,505.6075596540122,477.90813922666695,480.12983429875646,479.2030229570278,475.02822363354704,472.1966675460775,482.91992437972687,496.46312543942236,500.79709624064463,515.3609778392392,539.5107134032205,556.8955587935326,558.3620267984303,573.6273877978683,594.9002068452336,610.9784604481766,623.7387050206219,650.9903310249993,685.9103699267745,758.2822362177792,787.5143922987221,836.1615092464115,927.4441665751393,981.0490951960423,998.9974222979048,1081.2022751166685,1248.952805314461,1293.6682730405482,1370.7956848604472,1477.6482780300696,1521.6928986119547,1389.2708175784064,1323.6277227652934,1228.7223358739798,1066.5761851982447,914.7983208154326,821.4189880088533,724.6978806445328,664.1735385751243,618.4346865762124,586.8568483762552,578.2252388620291,577.4492654640619,566.2518679273055,582.1248956224002,635.8965561073475,712.6105176957869,795.4133966941002,809.0276071293347,783.0252752803469,714.4993698629232,594.3977449320478,429.2716190452828,336.5285071474938,238.30010223232867,153.36065785818192,83.45917050490586,55.8787381038286,17.406490322134967,7.057767533912588,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,58815.67641562725,1462.9983237874603,11334.277709666076,15475.735423234626,16559.92524154196,9082.60023000554,4900.139487391593,0.0,20.077495804354122,41.20413127233617,90.12771742136059,156.5419681369917,280.86434068676317,386.56855922160037,487.61411124405436,669.9294205614651,792.8615521339633,873.5119026073479,990.2669623555228,1173.8555139769794,1174.775268933381,1184.6331846946296,1158.1864120827775,1038.2499584141387,878.4447981663182,744.1931071759686,655.369628563584,585.459748775407,569.1476130872637,525.2994369475878,533.7042033658025,532.1347376008533,524.583815444393,521.6694447467333,533.1631417874617,540.2445923465544,546.9436077068528,567.3006448849342,597.6435274088099,614.5062572541491,625.3017987610164,639.5736683376408,661.3476583583288,672.940141299586,688.7099503958876,718.5549181613368,757.7002763590763,793.6890955087,817.3206806296538,930.4934334024806,978.3030306641168,1059.3948373940455,1114.8155665791955,1262.680860018489,1310.129475177393,1418.1009430263516,1536.7186559174108,1602.4628167828678,1595.616171527182,1562.4772617573751,1508.862022726781,1354.7056831579139,1233.9609474769575,1093.9046047090692,963.7121742019528,842.9345349971385,779.5829454091053,733.5483947660747,690.236535433672,674.0932625159874,664.2351382383906,641.2404437883943,636.5041316085145,659.0344301126703,703.5736342245713,753.3523875472407,758.9799414130499,747.0108558525524,690.4628736024547,574.3843506201375,446.6894686278718,348.0011368591721,243.7518659215076,157.31542475425246,101.47435018078056,53.826730570674826,18.753015652768212,6.137085789130478,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,57264.907831797354,1339.0788787102829,10480.4343564139,14749.435794396433,16581.110937706417,9068.870367485008,5045.9774970853205,0.0,19.766212766795228,29.42123469533082,57.02093260197772,153.82242966769948,249.69952936072437,347.9718466369457,481.37669298080965,633.2638841291832,720.7502468575317,808.7189521657997,955.495890804268,1040.1157429242812,1122.4121065867782,1091.5756079333823,1073.0227003243772,945.0586289262036,829.7495296902092,654.7973040154118,605.4737620564744,540.466527757823,502.9642756173423,488.7515509252721,498.3070861176184,496.43666559750505,495.5792578156328,489.54799049270963,499.39709100355935,512.0414924946217,514.0360589942408,534.2865759551963,566.7924501715355,582.2247726276737,594.9057225763518,613.1944227047312,626.4214205768848,642.8081596532286,663.9662775072134,687.8275425525626,729.1407669589163,768.9384374581642,840.1951759723132,893.8887721370093,967.3173007283272,1050.3542220352874,1157.90742633587,1209.5251237929374,1299.4512133840974,1397.124922609194,1522.0477258527585,1533.8702762063422,1598.898157675551,1636.2761462233175,1539.2304274776818,1375.802203880991,1260.6230922323912,1106.8502312996093,933.8734044358664,845.1955036203736,775.1733335755749,742.4689461738541,699.2472019769497,668.9006611825125,667.3384927884016,655.2414865647056,635.8966079759438,652.4678709449681,686.2166269462488,742.5555574408107,752.7508770775407,748.2754008611955,693.9215564040222,618.2333045377361,479.746506556153,367.0365689927542,270.72036739969656,181.47079322409405,101.13854515833548,53.89678406402568,30.145187609378983,6.0860477595775135,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,58573.01232509917,1479.7728918144114,11469.242099415116,14732.189232445173,17606.971103516375,8956.317258403666,4328.519739504424,0.0,13.97269035767934,31.000830010127896,68.54049272859763,155.2333940435436,266.9870453558632,397.55908568880255,546.4793536297973,714.6079064037007,835.1127294799713,976.4478598411363,1073.7407305423683,1150.643664847506,1214.3490702333984,1173.5431650183916,1091.5278879585271,1000.3516848761893,871.6978217326894,713.6216898728262,653.5978886084097,586.9958382215281,539.7724897238035,521.736574634249,506.08194189648634,501.27756191082716,497.7571796823097,487.83294442670814,498.19600448461154,509.3555110931913,511.2214801689759,524.6029378114539,552.0006215273459,567.1197182654938,580.252747284396,594.497652321947,609.2258563157072,625.5642099548671,642.5894291196109,664.1226071145027,713.1223040954477,771.4501071222675,817.2652203513537,880.5572588261432,1029.5910360919452,1128.9737537319988,1196.4717512659481,1278.419588308094,1406.7245644828636,1504.3190940063246,1565.189122257412,1675.18508177776,1761.9813445305558,1724.2483869243472,1582.3423122118163,1472.149258196794,1310.966845822459,1128.1468282549451,992.3344279980324,875.7508855859198,802.1290135733028,733.2712378617947,690.4925595052936,649.7186841799687,644.8708675542485,621.2587943100788,599.0786323611169,602.7324910379273,616.5328361810364,646.8404683312885,645.3812271622203,643.5600520257215,589.0240494688456,513.2407442939402,399.96702718069747,317.1067460596925,227.0546045207146,155.74592646505278,101.78216540941452,59.98880743049235,24.808374080819448,4.0195470755245415,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),50055.256539303584,1296.653952641008,9528.960058897628,12625.227857064207,14784.651867172026,8003.748828141717,3816.0139753870103,0.0,13.862819873297088,29.33214842337276,64.19112765332632,138.31792333102845,233.8721003719268,346.188825267311,470.8890077207455,610.375565125075,707.6513060931975,785.376540462418,904.8075007994113,965.934119178516,1010.6672788629517,975.4884091311985,940.878762604004,798.4909712920958,709.3569141472261,582.6939410375877,537.2387501639486,490.06609603219374,473.6639103826129,441.7334625283365,430.6005839436365,425.6820621267606,421.04469621373744,414.0360540770449,426.00231511562737,438.0508818624267,444.45483259392165,458.70633964679587,485.4063425014463,498.9536150447802,508.0009814003611,516.6562971597673,529.1706421408783,542.0337951819375,556.2935452785226,574.2031836046648,616.6530506361918,659.9173908959667,697.2642990056238,751.4560338866179,825.1774458043532,915.2821236586957,1020.1727587363076,1089.4077925702322,1197.760389919998,1281.824766638003,1304.6435858570676,1352.3408482147536,1404.1018364566364,1399.7262840623525,1371.1245559901806,1303.0392754797736,1145.2276495880235,1043.9914938619409,878.5731463394791,769.0009478127533,706.4991674630676,673.9280262178403,608.3758639636933,598.1320714966669,569.2279861127498,547.9298955862022,529.1182205613995,533.7391502708227,545.2328584551024,569.0514112579965,565.2070663565243,562.6941315391246,514.2649730180044,447.98754686588165,350.9489463357785,283.9371381187032,204.861400071926,141.41567933860887,93.68784939749348,55.911704418874905,22.37042410467081,3.6757045634232814,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
