link,line,dir,order,from_nlc,from_asc,from_station,to_nlc,to_asc,to_station,total,early,am_peak,midday,pm_peak,evening,late,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,10277.94558669172,336.1988807638911,2825.048345229283,3143.787905365729,2677.3403403067878,976.0361129710724,319.5340020549592,3.8847676426787583,10.036287588006944,18.92998129817024,26.783139341324567,41.877078544062186,53.978692378698874,74.62853364007711,106.08040033087238,140.21984741633406,159.6218162332156,200.25890413929204,229.52736682747116,270.176850194376,285.3534341440204,307.5515067823271,305.2160241300525,286.560321394237,244.9799647484196,213.96068654285494,181.62162267668242,152.92713401860493,138.78122745512727,122.76894747976039,119.60155558846981,120.63244480515141,118.00718262027837,120.1213943868159,120.82608571600879,125.28757936595241,126.30674273562494,131.18880298744375,130.81325790522183,133.6712421695787,129.54264823440334,128.8027632072441,126.89109804712173,129.11109181356466,127.0356019628548,131.449478430905,134.67368444140283,136.38333095713188,128.47226497946886,150.80581698123302,159.68652907636027,164.73402482255,182.69738783851545,216.96438464206338,227.0169618273203,242.5711429944299,270.22794302017985,274.48080776390043,264.53419188481394,243.70188069096545,227.2089278968832,192.7472461483518,170.45544077681393,147.74118437358078,128.6664532319308,109.17408341473967,96.34496365051498,81.65281195783841,71.66298659172578,66.26090426020846,60.28741716220949,56.821191594051584,53.82382444866469,53.122798802774355,50.47749348283331,49.05230205791164,46.33684490399137,44.689533069200806,40.77901730233748,35.80660358913168,30.717242837386983,25.96780441335838,19.053374562107898,12.732807751057955,8.383929374680433,4.6931028341586725,1.3214393596358938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,13683.823586726096,391.62895519455515,3423.2233749708776,4310.550891376628,3742.5689112697205,1383.2715300688078,432.57992384550846,4.777395578312464,12.784042057659917,24.045383231725346,34.34532883671366,52.20726198649176,65.88744943401683,83.38345617135661,114.19863789827858,155.56119694230142,188.7616407843035,221.1253603521588,282.04603829247674,318.84845212390735,354.6564360155302,363.12204629954647,378.80814707189995,342.46249865235063,313.9515801679016,264.56513779168637,239.3148404768143,207.13279121681026,189.86860863312745,172.1670639165709,164.9818763921911,163.32840433108217,160.2140721957059,160.44897369433602,159.78017843613446,165.29886649274093,168.29400872817985,173.58733015740842,175.24929820842524,178.57200577987086,175.14520338603614,174.27217057561964,172.78995720257518,174.90697627931405,175.6141503403258,181.9776502401058,186.26087887030044,190.05207902170366,194.00698452961305,213.52868595060923,233.07267679784087,245.3933734670215,265.85271328894447,315.16397297606636,329.718438811728,338.3537012831333,371.4813464760514,380.04300087933063,350.4177723953161,328.13643516588445,309.5123362391622,272.78517718914827,235.71064309793366,204.9461262607585,181.90417921535408,156.3250457284373,128.79710080166788,116.17732302204934,103.27261202665326,95.15767229260794,87.52261879461005,83.64422547770994,79.12810051087465,75.24709359180292,71.14943234628196,66.84922711707026,61.97460647748838,57.97440363228794,55.50726504972285,48.52526311667337,40.48810828619203,32.63405970679114,27.503950683207066,17.05299852623965,11.467158551365397,8.109307001467688,4.493575697002716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,37569.97122433134,927.7181883090647,11454.886749489062,10574.74276504444,9766.35266751267,3527.7709013612753,1318.4999526148345,6.027244664171142,9.560172272553785,25.662758149904136,51.771784708048116,91.10041581133213,162.70311583168936,237.03761291174456,343.8550839596215,482.88616537858786,636.396016345893,819.8784071040252,1010.3233298267796,1172.5440014413095,1291.6916478746678,1328.45297185046,1215.3339859538,1123.2317886593632,956.6363316478613,776.9795059404648,640.5325974658483,594.7418534070484,506.07499499442486,473.37813436459675,450.5977407045276,444.20893794715084,426.3367168802181,428.2808035323426,423.3464182396534,428.50449023264116,427.7175909822105,430.5512976635473,423.8702135861979,424.8197609073082,412.9566725686379,406.9939368372636,397.3546978641978,397.4740482985418,395.7661439582507,410.1728203407146,419.6271003710641,435.0650201356268,435.9495463730512,468.52530917289295,512.4285156823313,568.606402286503,647.545322061213,738.0427220422908,803.9370991455237,866.2948567866058,955.3633204148462,959.6008430180024,958.0806265487452,956.2624081575244,885.7464368874132,756.3063194170672,670.5663107469368,563.0948156435322,446.1807403293117,373.5961007010311,315.2290825598884,268.7850886244523,244.79834236599868,230.70814128732025,219.39245048164253,217.28486405906688,216.75107545562764,218.37793320583148,213.5722666475721,210.9473695481853,206.2869334445786,190.02321864318088,171.55088944538562,149.44193651531398,121.86339809275427,90.85695096523852,72.73004681253185,48.24640515948582,29.357710942305424,18.164288938016067,9.030804107858215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,41544.49274919387,949.910105526986,11025.125122261503,11700.692464460726,11728.29454209773,4351.763396795912,1788.7071180510006,9.299039274246416,13.319419362763867,30.48671459658531,59.326297600735906,101.25692713077495,155.4336789057678,244.73994472269095,336.04808393342074,463.9223410507158,638.0883786186389,788.3989686928285,989.3282491239024,1147.038835492234,1219.769310156491,1228.3306832321066,1170.3938606434936,1037.7667688955323,906.2695697332845,780.2944861555146,655.5236704667625,600.9615993529026,531.3091379968381,484.2080113659506,468.49057205927454,459.6924983018711,447.688438190332,450.6836668113317,451.92015043065805,457.79869912722495,463.2149417255967,468.519274544874,465.71046252142145,469.89826348971246,461.22884873692794,456.4357735067821,450.4047370027595,449.5833929240672,449.65012865974853,466.4758197373536,476.2325541460698,495.94134886938275,542.9349640574267,586.7908799934077,644.9183009088127,708.1864913047707,767.3316033772442,835.843631459916,968.2030630225022,1045.9548174221773,1106.7584085520064,1205.1079269153265,1207.4819999675744,1119.628055636999,1035.4504641130407,940.9462531134579,787.4018272127155,661.9129700522649,550.6350767962383,462.5441085091769,390.2706441968212,336.88874408390006,303.7317678594434,288.2748960789037,274.37404957957096,271.55406852728356,264.8547633075808,271.4908008449069,275.2315069598211,279.4971676254804,272.13536147958473,260.5509353378925,240.3182935107225,205.2241862532781,166.50030815320784,129.32791703516705,99.72180412752567,62.74307972796898,39.39112739602792,22.352958903066874,10.94397850107812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,48107.094135827036,1096.2410643796131,12131.25029961194,13274.819777532852,13456.929866509101,5449.021407742743,2698.8317200508027,11.159835272025077,16.550018501776744,36.49551839865203,62.05965889723099,110.64230262689676,183.17129103645948,285.78477204325554,390.37766760331664,541.9511032978528,695.6110948817056,889.423702799387,1038.365527631345,1267.4688682770673,1337.7781627277009,1376.810203168479,1268.359646620364,1186.1172232741328,975.8803945464106,840.8570457281003,712.6273266593946,656.5119586751671,585.3306582489581,538.5156845347898,524.6510145346635,511.3131061886043,498.49776695614867,501.3874264606919,505.6867965389413,511.19814028426117,521.1025054851989,526.7804577321152,526.6922091596983,530.8936741872731,526.6033345168697,523.2023424896249,522.0120282637093,521.5495083377654,527.0096084870686,545.9839887047817,560.4668164407537,582.4575268378176,613.5488722082325,690.0201876080623,723.4041646516546,782.3695463226734,885.2540457636874,990.0847551508269,1066.822356912229,1229.1416654978555,1302.2316693164225,1326.060291187577,1342.4431080720892,1320.1036459220531,1178.6599979111757,1077.8890868908957,955.8696975616151,799.8659618901818,642.1032514159261,547.9897907535784,470.0328230467974,413.86559487392407,378.14884741050645,367.0928953847334,356.52235806971305,356.4828116412202,353.6113145151427,369.6254007218163,393.6803580192034,418.0511767632996,414.79931896670223,401.0198243684265,374.9576206555638,310.67574962967393,242.3839274722098,189.00682136477616,147.36384470184422,90.96691739856954,58.592169700009855,34.18329735446268,16.83105167526454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,57403.88341992217,973.7364075742337,10143.531737491525,14594.95195800386,16400.934704051127,9119.699121635284,6171.0294911661385,0.0,16.913561683059044,34.82118794872969,59.602315077865356,107.33274907907966,173.65854313661163,246.27348045713242,335.1345701917559,461.5423445610379,579.4330274478168,744.4601861000019,870.5489053410736,1040.7591783174057,1102.0273752717153,1130.7057690201266,1056.944013321257,980.824452987384,831.7913110614982,716.9592320218469,627.5359420403602,570.6993370146595,531.5565451323307,495.0788211718441,492.6628551029837,490.32038412500157,486.04673234912366,482.1226142158757,491.98021981252884,507.94750216876537,511.68366339854606,525.0100814945113,549.6783290932096,569.9078416802145,572.2210181376586,587.9494194406899,609.9269969892634,626.4498063800363,640.6576414137753,670.7400032493192,708.9661695612601,788.5585090243876,825.2686691999265,879.6641674493366,979.8546303986121,1045.5435905463912,1069.989968909509,1162.6730690199922,1356.7412640544226,1419.2311854489712,1506.7486268534124,1632.7375819630838,1682.0207879862617,1536.4000803054055,1459.0391778276448,1354.558421770606,1175.250949365427,1010.1105704580519,908.5681778855617,804.6260211454978,738.1647327559749,687.4220840371155,656.2875832113605,657.1895142726604,668.5171213517773,670.6023378731209,699.9399018942968,767.7823977056535,850.488679044212,936.8526948564672,950.5110590573279,926.8500020067657,860.2717066118248,735.3331434618001,550.5179935310048,445.5897492281747,323.55988040090443,211.9942045012611,116.26088591328241,78.4352138332659,25.131041786544998,9.72191597751513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,63604.788008360425,1456.9226099146686,12368.592202565389,15839.567674909198,17468.715954810374,10278.304736938822,6192.684829221989,0.0,19.007087980378838,40.68684518061964,88.31454264078627,152.74006778472364,277.06595628688206,387.34218695938193,491.76592308189646,685.3382216607712,823.6346461887911,928.0069313198084,1075.9252416853565,1295.4811910138028,1315.147552434823,1333.1301363544562,1298.9626230278534,1152.7605156179234,962.3210110243483,802.8286364235098,695.0554958139454,611.6894733231371,590.4649903060003,537.1392999389047,542.8677036138563,541.9052938643783,534.2920980707368,527.4316263536948,538.4299629302521,544.821840258882,548.4456405068283,564.3041969025949,595.9760947308134,615.9688915918122,630.3781899512362,646.732466795243,672.1043132545649,688.5725763329724,707.9912720690518,741.8944847679096,785.8692626730917,827.8838825346152,853.5762471436922,970.9149785383761,1019.9128884565503,1106.9103768094487,1169.8337922555797,1325.6400555309558,1381.2555773778804,1500.347806287225,1629.7441501159688,1693.4133019409796,1684.9976622670515,1645.265307168308,1590.2267006036886,1430.1153714839409,1310.9658529693497,1167.1701731128715,1038.3212290262625,911.9354419377605,846.4079834942586,802.0151338532363,766.1943405883063,766.361718638163,773.5424260401976,763.2669816485662,772.4165560098891,809.8052975457272,860.867455043584,913.100657597503,919.3386591729809,909.8578318071454,852.2525606468423,720.5040352914912,579.3630041851173,468.1554190072205,338.44962733826065,223.84094487011993,147.6829037573355,80.9375048122711,29.505649958245904,9.696030777455084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,61917.01920550182,1328.548617685799,11421.418769049948,15057.159139438425,17487.708615440715,10242.273721806712,6379.910342080218,0.0,18.813478576682108,28.580480679835777,55.610228119776835,149.56206875329488,244.5624401919472,346.6742476070235,484.7456737572388,645.1541427935014,746.9173046673014,856.9297506334556,1037.4142743701075,1148.0544934390355,1254.058305961673,1228.7052445239592,1202.9246722812932,1047.4706937888493,908.7877152918763,704.5432443804741,640.4589269184208,563.8512724017249,520.1849040834168,498.78096442764127,505.5081344498926,504.00914710590075,502.9375694986776,492.8788603897027,502.8625495152126,515.059712167462,515.2399189147118,530.662670249458,564.5453885026939,580.7521999218543,598.1144742996813,617.6165274799569,633.8563048958478,654.1914707741299,680.7316871350333,706.0707269856136,753.4615197611329,799.4959670957737,876.163234257833,931.1340357756752,1009.0498993494003,1096.4509585325281,1215.192869460056,1270.372443759686,1369.9788111076955,1478.843546805798,1615.4340091143213,1622.6160295540803,1687.5486585728563,1722.994409724844,1620.2290609479478,1450.2684525809027,1337.7793652799999,1181.023075780046,1005.0558393222798,913.8236555521272,840.2628268401619,809.1901454018065,771.6832676979745,755.9204652000781,773.3190543658989,776.4742190367438,769.2905277426598,800.6816804487495,845.5489644181885,903.187332405658,915.1081529408011,911.2872805015859,854.3690761166081,771.9941790427295,619.9640679781774,487.8273445425598,373.24600649569055,259.38908637400556,147.4813723411462,80.86825453728176,45.60721938766646,9.580969416307305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,63078.58447831748,1454.8775561875595,12495.385674078556,15044.989042827761,18439.06983895981,10008.974459513842,5635.287906749936,0.0,12.460939551046213,29.437261693345064,65.62067725448343,149.63363443113542,259.1836935555946,392.20167246570617,546.3396772362488,722.2800607987224,857.8735806690385,1029.6330969771143,1160.410667092105,1265.8493683064512,1358.0687130280232,1323.5908507609865,1229.5728465941602,1114.9174680035674,961.5658989258894,773.801935435127,697.8211874873713,615.8730187990329,561.4998837943136,535.2265387595263,515.0501316825723,509.5621590475543,507.8130093220337,493.05672944558563,503.4694254256722,512.9209425495093,512.0378143861985,519.131907665788,547.7082533543594,563.408541398976,579.8838831585506,596.839282279849,615.6631625492455,636.6237730873713,658.8136740427956,683.0710098170638,738.3981317625255,803.1781816209475,851.0910635203699,915.0894798221389,1069.5790455357817,1171.4936332021107,1246.0057738076962,1335.26268878791,1472.3273672333708,1582.3426349399992,1652.1728088786056,1762.7280023632607,1846.5396324355966,1805.65535726246,1649.899479415737,1536.1316280325345,1378.5108326005302,1193.2770925023583,1055.6956358663283,940.7446499769671,864.5990289575789,791.4406285733721,754.1346734212166,727.887650107845,740.2841543965242,727.959955391232,718.5337575867658,738.1073173378535,756.3099153957994,791.4892657376405,792.7976443161459,799.1111018634679,742.3827279946031,665.7597016312006,540.4888540196781,447.1534164755594,332.09287656732596,236.04231286953004,152.8814025554459,90.19145791711345,37.65213958506772,7.245005217157864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),53023.50786173629,1265.7883661201058,10422.998583609662,12733.355657462791,15161.146175052005,8663.565002769392,4776.654076722339,0.0,12.405879955429885,27.786435990742746,61.5009325219595,132.55177328531363,225.746401038412,338.9112910903957,466.88565223785224,612.3444547109161,723.3062432165723,824.8472015917516,980.5732933961178,1068.645791652212,1139.0060084100485,1108.2361564357027,1068.2642523328157,899.0539818460888,788.1438663349268,634.5217913060039,576.0555423765065,513.056026376901,490.5305971452814,449.2182529336189,434.5973606867615,428.1592932831815,424.9466897113258,415.07502870835526,427.38621538893744,438.1159750928101,441.6308136413685,449.3600415682491,474.25715131340576,487.71132433456387,499.19092364112817,511.23573449598564,527.756129080029,544.4330650457143,562.9500415993693,582.8070384612022,628.6085313943772,676.1919229023845,715.402884939437,768.1521222518292,842.5824934665725,931.9236370439952,1042.4912305529626,1114.4422543029375,1228.5895017415378,1317.8047673397587,1345.5455049936302,1391.7698135702994,1440.4713475608492,1433.6371210878392,1399.6774330537046,1335.219626291897,1179.5739375125936,1080.5414058830697,914.4811497226831,810.0104315370795,742.5171856195493,707.6264946115093,643.9935889333273,646.619248929193,628.9313033914738,617.3262170762675,608.1237436705403,624.9106517184691,638.4835816762297,665.8386642898458,663.5252202400629,669.6320190562933,623.0545019512249,560.3195202227869,455.4833017478374,384.24598011723424,288.738685547108,206.644648557155,135.69174624293603,82.28869269015667,34.61411283561405,6.576983224083643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
