link,line,dir,order,from_nlc,from_asc,from_station,to_nlc,to_asc,to_station,total,early,am_peak,midday,pm_peak,evening,late,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,7464.232455336426,16.08846989121582,795.8319300249278,4140.9337579511375,1543.2976586026011,753.1193724148559,214.9612664516869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.08846989121582,20.711479463126885,30.601894391704,34.46745427198949,46.408083415168285,44.157938849785005,53.739687173625015,68.30671128646894,88.29755003240841,91.09768808875576,99.3435639595248,108.81733400110365,109.88254509126759,118.64662187687351,132.27268031406044,141.58859081796922,151.65775817140738,169.15322445548856,174.7151535425093,187.39404368192268,193.1139533451294,203.1674266212872,198.93807418429958,200.99288518671918,196.98430666592446,200.3026405696029,192.74677841539972,190.9966518265078,183.73022710712053,181.71587758459503,173.7392701251831,170.0340727735616,162.73654694298102,161.23364610363183,155.27095699796547,152.73274149969185,147.06962914130597,146.7273032624453,141.47294563510303,140.935543562673,136.2235245443755,134.43716341983622,129.0919998038515,127.98955728503044,123.6488469642236,122.79232565311514,118.47686279375492,114.56014186593642,106.9414438122559,99.23245203884278,90.18987378120927,83.27422897054345,74.06499146017542,67.2038957753184,60.2998450447163,54.21432924817577,48.89753275900933,46.49659216937268,44.5537610531111,43.176262124802044,41.515607989579415,41.957750074509846,37.80110906874768,32.696440791817544,30.6944900152807,26.84366079272799,17.858787288813748,13.48870525803853,9.904908593396392,3.7154145683544852,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,10064.529538765248,20.24327784828721,1080.466497551953,5528.875084501353,2159.525980369601,992.225382476702,283.19331601734757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.24327784828721,26.502944744084306,40.671399904111695,46.41759083789334,63.2391611680783,61.479326685650996,74.60548077245579,86.70142661805366,101.50561392271982,128.91778602506358,135.41840957483709,151.0521918242747,163.9551654747295,188.32333631936038,185.34961645008218,203.62009181511826,215.28113520911842,229.93742702288498,235.2313302895939,246.88816817470303,252.36629953144833,260.92011803343934,258.4574037806435,259.256744815315,254.51277579830372,256.03547600541765,247.46087194014228,244.9153883022895,237.8900880292768,237.83139763144786,232.587429671704,228.57390628695117,220.34538168942157,217.13197442302803,210.3374460421253,204.8034350005358,200.81784223900226,199.83783972440992,196.0666156508984,194.3583304337728,191.21922783765854,188.7083824903816,184.7188747070976,184.583217395808,177.6475392328069,174.05293656037196,166.63925852400266,157.519688157447,144.1740696549455,134.01445303081374,120.7902549243182,109.8945725025817,98.3732512598227,87.73912978800243,77.39511327035656,70.2480865061751,63.50352891720779,59.59726520792592,57.93628632010717,57.97523370890856,54.758207040482084,52.0075393310272,50.191464664202755,43.47892226655593,39.96520345754125,35.28344875104348,26.938134938379555,17.683931240008537,13.170988039544008,4.473683329044869,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,21528.712778351066,23.89328827124474,1726.242267247276,11419.689942761286,5152.084433547389,2537.8016144192634,669.0012321046015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.89328827124474,35.78283625978896,51.0232976655145,68.41870765876264,87.84015504481056,92.91812463385072,113.76906806678508,141.25415371086564,165.83997515566955,206.7982741069544,225.7201090842101,254.6752284988469,282.2023373612167,322.86465109173804,342.6168149266258,380.11207887952287,408.8623743685657,450.63638491542116,481.71522077235517,512.6348059049922,528.9173593407384,549.2660581783921,540.2915110334663,530.4297348406178,516.146110463182,522.8704418814407,517.7760853838863,512.116233002938,503.17318666029365,509.41980448964136,497.6227673395311,482.57582041087903,475.1663128685118,471.3619331870746,462.4501626052472,449.4853236095508,451.1787666066734,447.86659473070335,443.2312918112379,440.3325807873178,450.7148981091007,447.4126259057074,453.67388275845946,450.39806932351433,443.6505327818446,430.53852202118316,410.86357625789117,379.4054832962873,353.9963757641419,320.8454925693386,289.3845897613638,263.8091964322005,242.05595089129042,218.76959475959103,202.6868005516366,187.32432769563525,176.9983050990862,167.92047596539567,164.63644001485218,155.39205351789448,147.97838716097831,136.483528642919,121.07141975543823,109.64503886966028,89.83872637619686,78.26233788186151,56.28908555859005,41.05851771470337,21.262335760702832,15.090241544529329,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,25596.69351282139,11.665934708182313,1833.9727053312668,13182.076486819285,6524.097492900482,3193.1164824540724,851.7644106081093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.665934708182313,35.490071604038995,52.933786609738426,74.01453971455487,99.109137798334,119.55350747083904,133.1091080692413,150.10018259133113,175.39141382794358,204.37956488050617,233.20330976871026,258.3684134157853,298.31966958024395,339.1912074040754,372.70977472365416,406.22907894495177,442.01150896089445,489.36295554774046,532.3730940990129,573.6987771837793,592.1395287055525,617.0300716876187,621.2391306640748,609.0069629200589,593.4706357123442,602.7785638548681,609.1572718843943,602.8368401933649,597.064853861567,596.1527807696502,596.3290446006511,575.6459173074918,565.4583270104943,564.1468903083505,570.5746205699143,557.8770668124412,555.591583092341,560.7453847275922,559.5143769071827,559.3110315244214,571.1555508460217,574.4762174339684,578.6153014345408,578.5952465806798,558.9625920154417,539.1240000585374,521.833073898708,478.8748386493576,442.8898788240296,409.28993269758985,366.4487247441021,325.9022472093245,302.7074958423084,272.1606039752375,252.62644663428344,234.05654066315856,222.96545980004598,208.94477046458942,203.60091331795365,200.7613622162941,193.6519848891849,179.93299357737516,159.3246268140463,145.80060043050946,110.42932173018916,95.12586649707883,67.82476462305189,49.875392434857254,25.588120393123738,17.86272410787741,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,30607.614709584213,11.702195762598803,2005.818925889877,14816.817832931676,8380.991656203443,4230.454311897619,1161.829786898997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.702195762598803,38.49921079576836,58.52756787647707,82.68911553178631,110.18487613791383,133.45181184599278,146.65340404889392,164.90922880089545,190.51669699588751,222.41518157958728,253.59001386726345,281.25584565560655,323.1259727538046,367.5874364183383,404.1152945504065,440.9049507815527,479.33490463373045,528.8432440671952,576.7563278988018,622.9039952273766,643.6569304219935,675.3361494444588,685.1245303468636,673.9900312733506,659.882120948796,672.2722450869512,679.7968355924753,676.4457555292726,674.3776527818886,675.2237081987953,680.1320327337122,662.6076688062133,657.0760245723936,661.3485632914787,677.0053984382006,668.8163788283574,673.2796530590737,685.2939005321019,689.6861687952197,694.5048461692992,720.4347517662889,736.2036847045504,752.7880965713475,762.4496757001434,742.8822467786603,713.7293827122462,685.5746656825984,625.1397434679233,572.3044933230657,526.7568106907963,473.20596186287713,421.33030496536713,393.54838468454,358.0235947391577,336.91339096604645,316.04504633953525,302.8808906832587,285.3296345604823,278.0206242251957,274.4889143410001,263.9107538393626,246.06801540175582,217.79880414611165,200.48209587082528,151.13713008239827,129.6704860681107,92.70170844309202,67.57205400743405,33.290465071703224,23.109027807566253,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,40458.74985930959,10.745822755451972,1974.1004078014155,15442.451912523822,12564.151889686003,7866.2535936883405,2601.0462328545564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.745822755451972,39.052645911738246,60.390205338939644,89.66951414959058,119.29896541660734,143.0844387657815,155.47901970225544,175.1844863640153,180.6204757637424,208.79532320258525,238.59110005621372,265.72286690640584,298.2113662235401,353.1783357574141,380.77283038937685,409.2884659605021,438.48012431701295,476.3219082029566,508.1790621033822,537.6147491780391,565.7398725453078,603.339358489927,623.4446458880135,625.1982831833402,646.7461313062176,661.9111064979833,669.9530663089084,688.284592336573,713.0339437908774,738.0755049726732,758.6936802155922,777.5642109219898,793.1798980831311,830.9877425317454,849.4785880653022,879.549449355188,913.4363621223656,949.8178205034419,960.1849245998668,991.0104597197267,1039.44736393174,1085.0892821729872,1120.5067890015807,1145.640746908075,1150.6452371746225,1125.0604197624214,1071.5541443465304,994.8307673132043,930.3639342518077,857.9177807541696,778.2158924125242,727.9598257043199,694.8124535434687,658.0706836145334,633.0601641267331,620.9928871784031,595.1856359548151,584.3492265057272,580.9257018363597,581.7130362724898,553.0503057847964,525.6364566199542,500.8961305257329,451.4337384946928,361.1903993013639,293.4842600093096,223.29697238270825,131.519682031593,64.26288487648937,35.43080198201042,13.894906630702422,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,45105.4637598993,10.884810780448964,2876.9451828367555,17354.772350433483,13819.328164333905,8306.521303966834,2737.0119475478814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.884810780448964,31.496270384012032,72.40931774721851,110.89385776390978,153.7331235790786,192.65259579340167,229.37685230441082,247.88841470917748,286.9682813143972,329.52705571920507,369.8068701103196,400.20748409682665,451.985059314798,485.4647100901352,511.82010016417496,535.4808385272004,570.8865895365977,585.5853721460558,607.7677860958566,626.9423613666395,649.5975905053859,671.2672863430214,690.8805663724759,696.3482269592504,720.7193302420618,742.5221849062281,752.385335021497,765.4281279458417,786.7555031619609,797.7082373314723,808.0003661866002,817.228326202328,840.766976968967,872.5538375766846,903.968780057298,932.0853813906643,982.6085353350833,1022.3169766738423,1049.4000963414796,1087.755649190764,1142.2539365418809,1187.0622404511082,1218.5834464910754,1256.8168889383749,1264.6450770180224,1245.3946143471528,1185.8545440611983,1121.5578637455267,1037.6868305334788,949.2362173849267,861.0557309977963,800.4469512656917,746.4509646325678,699.944698625437,665.4616599483286,638.7802009011892,619.4406471022256,594.9511410323353,590.1821838268687,580.4643155131597,560.1065927363064,531.7737277713903,475.7524175775949,428.6073376964477,390.5827060687651,317.67222485045767,241.05796210446925,186.53610662238418,111.70251305557949,38.528138395964326,14.798813404828765,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,44236.895863631835,11.128331336445573,2686.781561232549,16675.664739365824,13683.755939110973,8330.033458002983,2849.531834583058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.128331336445573,31.58223605456975,71.45867963283128,108.31841086501764,149.50201854244153,185.75012697588227,220.08828851141385,237.59451328152602,259.92687573527644,299.618957402347,337.16507111383095,368.5695524971673,417.20683062024483,456.4353176076542,490.89159450552233,513.3418477261033,540.7820631666923,560.4759442105251,585.8145325673281,597.4879174570383,625.4561962779283,646.6145243399694,654.7247138678724,673.596107196356,694.1088237240202,702.7873366312888,724.1862566365365,742.4694371347551,749.8017250726034,764.3139387318733,782.9538878131581,785.2813887761513,810.6913061013123,842.0559231657172,869.4187291775587,906.610556024364,955.3646714534927,989.5342620980016,1030.8194161853453,1070.7486689006168,1117.5465379877292,1166.8197928832992,1206.1438515401262,1236.5820709392115,1258.6637657584206,1240.7113828241893,1186.517199505885,1127.8700288503474,1051.7989616378,949.8356479233286,869.4496787631691,803.6300409040797,744.5126085994713,700.2830029944585,667.6856721440578,639.9217796094426,615.9668162268305,597.1194365383599,578.0629944063812,579.7718637188567,583.7939161745477,562.4407209195573,502.2525264798245,463.2640531995337,417.10588193988883,316.2530568986158,239.53562085072102,185.325033771168,110.61978115368298,38.22569280039434,14.50946656967085,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,45065.199711880006,0.0,3356.4956736352533,17629.160110187564,13405.833251710525,7954.102483375147,2719.6081929715156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.291302795022172,53.665928471764566,98.70760847001159,152.14090137309034,214.4978240853913,268.8501930955522,308.7544814272975,359.7154061665132,409.29320939878266,450.9867722260378,486.810519321609,536.7815268041811,558.1551885951296,581.2134494452694,593.8974690273262,617.7270929363342,635.5289639387682,658.65361211645,672.9330188864247,697.2091538292289,712.1746469573868,709.7547338290747,717.7408550950634,727.1268486926599,736.0320435875271,751.7106068732777,761.6628083328093,763.3256470270256,775.8983465445684,793.1988355905107,792.3992958643828,813.042480300333,847.4166641681619,872.9257435940111,900.5745969632289,938.8580079926116,974.9992238407297,1013.8490066306357,1056.5982358039032,1108.4491911593943,1156.4558594652228,1187.3421068755354,1213.7111071691538,1220.1256819737098,1200.346837679092,1155.00396273245,1099.0509754353225,1019.9010629453777,932.3043406766805,847.702611782667,777.5866304719557,721.7523981427412,673.4960663195909,637.527842083952,614.5960542679842,590.9489610493969,565.3297033855845,544.9148305623859,541.3723588878543,506.570685744355,485.28537851862353,462.0320898325697,433.7664266536528,361.9546200961882,332.8505394797502,262.9374843021764,183.34252175929043,109.68646045684973,71.6253449189073,16.12732695350773,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),38794.289428676864,0.0,2740.2167218472723,14961.080455097419,11601.048829758982,7070.205228721205,2421.7381932519943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.804329927661641,48.6841018652555,87.68569803967193,133.67600801089444,185.7053365888068,226.6637129031057,257.0473275992204,293.7715923603132,325.60391870177347,353.8611096059488,384.1364727507688,427.57711349385164,445.59686920634726,468.8102525768397,485.85141254764227,505.7979023891148,515.2590358497594,536.0030417120256,551.3975751502963,569.6217850454493,580.3163011952067,583.7725410355778,599.3163752860787,615.0183777149846,627.8260344120101,650.1892633805796,662.9105408145351,667.1154833275008,675.724743756896,694.2826526979276,697.1825965982684,717.1074886475535,739.1271907017706,765.4237840446892,789.4328866458604,817.9963203605013,840.9076025610938,876.8314141233798,913.2505656974196,961.5116221456993,1001.8636390952097,1031.8063867720791,1052.4851787424386,1052.3170116645538,1027.1686452738477,996.9641943673545,953.9097586951436,892.0328106207631,816.9401433054346,750.2435880902485,686.7043350148751,640.1110976752632,594.2991874967906,567.5928467563115,549.819561643121,529.23432715883,506.3660396680469,490.7515038257123,485.5602388618133,452.58235922475717,431.890959898992,408.44758672824133,385.66334507424585,324.97510092314457,297.47378315687075,234.11353069490548,164.95126432975275,98.17819521833508,62.56731857032256,13.477108657183932,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
