Source Station,Target Station,Weight
Snaresbrook,South Woodford,0
Harrow-on-the-Hill,West Harrow,0
Kentish Town,Tufnell Park,0
Finchley Road,Swiss Cottage,133
Redbridge,Wanstead,0
Oxford Circus,Tottenham Court Road,0
London Bridge,Southwark,0
Green Park,Westminster,0
Kilburn Park,Maida Vale,0
Northwood Hills,Pinner,0
Croxley,Watford,23
Kilburn Park,Queens Park,0
Barkingside,Fairlop,63
Green Park,Hyde Park Corner,0
Buckhurst Hill,Loughton,85
North Ealing,Park Royal,0
Belsize Park,Chalk Farm,379
Leicester Square,Piccadilly Circus,0
Turnpike Lane,Wood Green,0
Barkingside,Newbury Park,40
Northolt,South Ruislip,0
Barbican,Moorgate,84
Chiswick Park,Turnham Green,87
St. Johns Wood,Swiss Cottage,0
Angel,Old Street,227
Aldgate East,Whitechapel,222
Blackfriars,Mansion House,312
Aldgate East,Liverpool Street,413
Moor Park,Rickmansworth,0
Sudbury Hill,Sudbury Town,0
Chigwell,Roding Valley,5
Ealing Broadway,West Acton,395
East Acton,North Acton,108
Monument,Tower Hill,334
Borough,Elephant and Castle,365
Parsons Green,Putney Bridge,0
Holland Park,Shepherds Bush,0
Mile End,Stepney Green,0
Brent Cross,Golders Green,421
Debden,Loughton,78
Bow Road,Mile End,141
East Finchley,Highgate,198
Moorgate,Old Street,0
North Acton,West Acton,0
West Finchley,Woodside Park,0
Morden,South Wimbledon,0
Burnt Oak,Colindale,474
Arsenal,Holloway Road,55
Northwick Park,Preston Road,0
Oxford Circus,Piccadilly Circus,0
Belsize Park,Hampstead,178
Lambeth North,Waterloo,0
Ruislip Gardens,West Ruislip,0
Ravenscourt Park,Stamford Brook,0
Chorleywood,Rickmansworth,34
Aldgate,Tower Hill,140
Aldgate,Liverpool Street,184
Barbican,Farringdon,238
Harrow and Wealdstone,Kenton,0
Leyton,Stratford,0
Monument,St. Pauls,164
Oxford Circus,Regents Park,0
Kennington,Oval,0
Kennington,Nine Elms,0
Blackfriars,Temple,259
Kilburn,West Hampstead,0
Fulham Broadway,Parsons Green,309
Arnos Grove,Bounds Green,320
Angel,Kings Cross St. Pancras,518
Archway,Tufnell Park,257
Earls Court,West Brompton,346
Preston Road,Wembley Park,0
Hounslow Central,Hounslow West,0
Notting Hill Gate,Queensway,0
Goodge Street,Warren Street,100
Harrow-on-the-Hill,North Harrow,0
Gants Hill,Redbridge,130
Dollis Hill,Neasden,95
Ruislip,Ruislip Manor,0
Euston Square,Great Portland Street,149
Arnos Grove,Southgate,207
Colliers Wood,Tooting Broadway,286
Canons Park,Stanmore,83
Boston Manor,Northfields,46
Gloucester Road,South Kensington,279
Seven Sisters,Tottenham Hale,0
Kensal Green,Queens Park,0
Goodge Street,Tottenham Court Road,96
Leicester Square,Tottenham Court Road,0
Monument,Cannon Street,300
Bayswater,Paddington,126
Stepney Green,Whitechapel,0
Embankment,Waterloo,520
Bounds Green,Wood Green,140
Blackhorse Road,Walthamstow Central,317
Oxford Circus,Warren Street,0
Baker Street,Great Portland Street,413
Fulham Broadway,West Brompton,261
Burnt Oak,Edgware,443
Sloane Square,South Kensington,0
Greenford,Northolt,0
Kings Cross St. Pancras,Russell Square,0
Green Park,Oxford Circus,0
Waterloo,Westminster,0
Canary Wharf,North Greenwich,1271
Lancaster Gate,Marble Arch,0
Baker Street,Bond Street,1456
Kilburn,Willesden Green,0
Blackhorse Road,Tottenham Hale,512
Euston,Mornington Crescent,491
Kenton,South Kenton,0
St. Jamess Park,Westminster,0
Canada Water,Canary Wharf,1773
Bromley-by-Bow,West Ham,126
Finsbury Park,Manor House,724
Clapham Common,Clapham South,673
Rayners Lane,West Harrow,0
Acton Town,Ealing Common,203
Edgware Road (Bakerloo),Paddington,150
Stonebridge Park,Wembley Central,0
Barking,Upney,467
High Street Kensington,Notting Hill Gate,0
Harlesden,Willesden Junction,0
Plaistow,Upton Park,0
Brixton,Stockwell,1419
Charing Cross,Embankment,719
Grange Hill,Hainault,19
Kennington,Waterloo,0
Hounslow East,Osterley,0
Euston Square,Kings Cross St. Pancras,285
Monument,Liverpool Street,473
Finchley Road,West Hampstead,99
Gunnersbury,Kew Gardens,0
Kingsbury,Wembley Park,0
Caledonian Road,Holloway Road,99
Holland Park,Notting Hill Gate,0
Barons Court,Earls Court,846
Monument,Moorgate,362
Bond Street,Oxford Circus,1126
Harlesden,Stonebridge Park,0
East Putney,Putney Bridge,261
Elephant and Castle,Kennington,495
Elm Park,Hornchurch,62
Mile End,Stratford,0
Green Park,Piccadilly Circus,0
Cannon Street,Mansion House,58
Southwark,Waterloo,0
Sloane Square,Victoria,0
Clapham Common,Clapham North,468
Camden Town,Mornington Crescent,740
Northwood,Northwood Hills,0
Cockfosters,Oakwood,115
Chigwell,Grange Hill,24
Northfields,South Ealing,0
South Harrow,Sudbury Hill,0
St. Jamess Park,Victoria,0
Earls Court,High Street Kensington,449
Baker Street,St. Johns Wood,351
Hatton Cross,Hounslow West,0
Brent Cross,Hendon Central,122
Hyde Park Corner,Knightsbridge,0
Pimlico,Vauxhall,0
Alperton,Park Royal,100
Paddington,Royal Oak,0
Oval,Stockwell,0
Golders Green,Hampstead,239
Greenford,Perivale,0
Leytonstone,Wanstead,0
Southfields,Wimbledon Park,0
Colindale,Hendon Central,256
Balham,Tooting Bec,489
East Finchley,Finchley Central,546
Ealing Common,North Ealing,41
Hillingdon,Ickenham,0
Bayswater,Notting Hill Gate,120
Bow Road,Bromley-by-Bow,158
Earls Court,Kensington (Olympia),180
Earls Court,West Kensington,446
Green Park,Victoria,0
Shepherds Bush Market,Wood Lane,0
High Barnet,Totteridge and Whetstone,0
Bond Street,Marble Arch,577
Croxley,Moor Park,46
Aldgate East,Tower Hill,245
Chalfont and Latimer,Chorleywood,140
Debden,Theydon Bois,119
North Wembley,Wembley Central,0
Chancery Lane,Holborn,126
Hornchurch,Upminster Bridge,0
East Acton,White City,73
Barons Court,West Kensington,146
Finsbury Park,Highbury and Islington,533
Pimlico,Victoria,0
Ruislip Gardens,South Ruislip,0
Maida Vale,Warwick Avenue,0
Holborn,Russell Square,0
Camden Town,Chalk Farm,1052
Acton Town,Chiswick Park,207
Dollis Hill,Willesden Green,112
Balham,Clapham South,703
Knightsbridge,South Kensington,0
North Harrow,Pinner,0
Harrow-on-the-Hill,Northwick Park,0
Charing Cross,Piccadilly Circus,490
Earls Court,Gloucester Road,1235
Kew Gardens,Richmond,0
Canning Town,West Ham,508
Euston,Kings Cross St. Pancras,726
Bethnal Green,Mile End,383
Paddington,Warwick Avenue,0
Gunnersbury,Turnham Green,0
Hatton Cross,Heathrow Terminals 1 2 3,0
Totteridge and Whetstone,Woodside Park,0
Camden Town,Kentish Town,727
Oakwood,Southgate,0
Eastcote,Ruislip Manor,53
North Wembley,South Kenton,0
Colliers Wood,South Wimbledon,395
Neasden,Wembley Park,0
Upminster,Upminster Bridge,0
Alperton,Sudbury Town,87
Rayners Lane,South Harrow,0
Epping,Theydon Bois,262
Canning Town,North Greenwich,400
Leyton,Leytonstone,0
Ealing Broadway,Ealing Common,514
Plaistow,West Ham,0
Baker Street,Regents Park,241
Hanger Lane,North Acton,0
Covent Garden,Leicester Square,499
Baker Street,Finchley Road,808
Ickenham,Ruislip,0
Barking,East Ham,743
Liverpool Street,Moorgate,0
Archway,Highgate,267
Tooting Bec,Tooting Broadway,0
Finchley Road,Wembley Park,193
Ladbroke Grove,Westbourne Park,0
Stockwell,Vauxhall,0
Eastcote,Rayners Lane,55
Kensal Green,Willesden Junction,0
Embankment,Westminster,422
Heathrow Terminal 4,Heathrow Terminals 1 2 3,0
Elephant and Castle,Lambeth North,258
Wimbledon,Wimbledon Park,0
Covent Garden,Holborn,497
Stamford Brook,Turnham Green,0
Ladbroke Grove,Latimer Road,0
Canons Park,Queensbury,110
Camden Town,Euston,1939
Finsbury Park,Seven Sisters,804
Acton Town,Turnham Green,238
Borough,London Bridge,109
Lancaster Gate,Queensway,0
Bermondsey,London Bridge,256
Charing Cross,Leicester Square,547
Boston Manor,Osterley,60
Gants Hill,Newbury Park,141
Farringdon,Kings Cross St. Pancras,490
Acton Town,South Ealing,116
Gloucester Road,High Street Kensington,329
Manor House,Turnpike Lane,0
Shepherds Bush,White City,0
Heathrow Terminal 5,Heathrow Terminals 1 2 3,0
Hillingdon,Uxbridge,0
Dagenham East,Elm Park,107
Hatton Cross,Heathrow Terminal 4,0
Goldhawk Road,Shepherds Bush Market,149
Dagenham East,Dagenham Heathway,174
East Putney,Southfields,310
Amersham,Chalfont and Latimer,164
Highbury and Islington,Kings Cross St. Pancras,0
Fairlop,Hainault,35
Baker Street,Marylebone,265
Finchley Central,Mill Hill East,167
Monument,London Bridge,361
Battersea Power Station,Nine Elms,999
Leytonstone,Snaresbrook,0
Becontree,Dagenham Heathway,189
Clapham North,Stockwell,290
Bermondsey,Canada Water,657
Chancery Lane,St. Pauls,65
Roding Valley,Woodford,0
Latimer Road,Wood Lane,0
Hanger Lane,Perivale,0
Chalfont and Latimer,Chesham,101
Royal Oak,Westbourne Park,0
Caledonian Road,Kings Cross St. Pancras,153
Becontree,Upney,70
South Woodford,Woodford,0
Arsenal,Finsbury Park,750
Moor Park,Northwood,0
Embankment,Temple,315
Kingsbury,Queensbury,0
Edgware Road (Bakerloo),Marylebone,62
Holborn,Tottenham Court Road,0
Stratford,West Ham,0
Bethnal Green,Liverpool Street,343
Finchley Central,West Finchley,282
Monument,Waterloo,367
East Ham,Upton Park,261
Euston,Warren Street,372
Buckhurst Hill,Woodford,84
Hounslow Central,Hounslow East,0
Bond Street,Green Park,993
