Source Station,Target Station,Weight
Charing Cross,Embankment,824
Edgware Road (Bakerloo),Paddington,1185
Maida Vale,Warwick Avenue,175
Holborn,Tottenham Court Road,2078
Goldhawk Road,Shepherds Bush Market,358
Notting Hill Gate,Queensway,678
Fulham Broadway,Parsons Green,505
Archway,Tufnell Park,337
Pimlico,Vauxhall,695
Preston Road,Wembley Park,366
Gants Hill,Newbury Park,250
Hatton Cross,Heathrow Terminals 1 2 3,659
Fulham Broadway,West Brompton,394
Harlesden,Stonebridge Park,155
Aldgate East,Tower Hill,870
Aldgate East,Whitechapel,603
Chancery Lane,St. Pauls,273
Harlesden,Willesden Junction,336
Euston Square,Great Portland Street,166
Aldgate,Liverpool Street,972
Harrow-on-the-Hill,West Harrow,236
Chigwell,Roding Valley,11
Canary Wharf,North Greenwich,2793
Blackhorse Road,Tottenham Hale,1373
South Harrow,Sudbury Hill,84
Kennington,Waterloo,1716
Ruislip,Ruislip Manor,160
Aldgate,Tower Hill,481
Bromley-by-Bow,West Ham,199
Balham,Tooting Bec,780
Elephant and Castle,Kennington,611
Battersea Power Station,Nine Elms,1144
Acton Town,Turnham Green,457
Plaistow,Upton Park,307
Earls Court,Kensington (Olympia),405
Euston,Kings Cross St. Pancras,1744
Heathrow Terminal 5,Heathrow Terminals 1 2 3,429
Oxford Circus,Regents Park,713
Camden Town,Kentish Town,1020
Burnt Oak,Edgware,452
Redbridge,Wanstead,114
Barkingside,Fairlop,82
Manor House,Turnpike Lane,442
Hyde Park Corner,Knightsbridge,673
Baker Street,Marylebone,600
Stockwell,Vauxhall,1331
Belsize Park,Chalk Farm,445
Barons Court,Earls Court,802
Hatton Cross,Heathrow Terminal 4,233
Waterloo,Westminster,1949
Ickenham,Ruislip,134
Tooting Bec,Tooting Broadway,960
Holland Park,Shepherds Bush,865
Goodge Street,Warren Street,204
Mile End,Stratford,2716
Moorgate,Old Street,675
Northwood,Northwood Hills,85
Bermondsey,Canada Water,683
