Source Station,Target Station,Weight
North Ealing,Park Royal,0
Aldgate East,Whitechapel,5
Monument,Moorgate,9
Gloucester Road,South Kensington,1
Stonebridge Park,Wembley Central,3
Barbican,Moorgate,2
Cannon Street,Mansion House,1
Lancaster Gate,Queensway,0
Morden,South Wimbledon,6
Snaresbrook,South Woodford,0
Heathrow Terminal 4,Heathrow Terminals 1 2 3,6
Croxley,Watford,0
South Harrow,Sudbury Hill,1
Redbridge,Wanstead,0
Ladbroke Grove,Latimer Road,0
Monument,London Bridge,11
Baker Street,Bond Street,3
Canons Park,Queensbury,12
Notting Hill Gate,Queensway,1
Kenton,South Kenton,2
Heathrow Terminal 5,Heathrow Terminals 1 2 3,4
Cockfosters,Oakwood,1
Euston,Mornington Crescent,8
Finchley Road,Wembley Park,9
Green Park,Piccadilly Circus,0
Buckhurst Hill,Woodford,4
Burnt Oak,Edgware,26
Grange Hill,Hainault,0
Colliers Wood,South Wimbledon,23
Bermondsey,Canada Water,7
Moor Park,Rickmansworth,0
Knightsbridge,South Kensington,2
St. Johns Wood,Swiss Cottage,1
Borough,London Bridge,2
Epping,Theydon Bois,12
Archway,Tufnell Park,4
Greenford,Perivale,4
Hatton Cross,Heathrow Terminal 4,4
Chalfont and Latimer,Chesham,7
Leicester Square,Tottenham Court Road,2
High Street Kensington,Notting Hill Gate,0
Barking,East Ham,82
Bermondsey,London Bridge,6
Dollis Hill,Willesden Green,8
Earls Court,West Brompton,11
Manor House,Turnpike Lane,2
Mile End,Stratford,14
East Finchley,Finchley Central,19
Blackfriars,Temple,0
Brixton,Stockwell,39
Barbican,Farringdon,6
Harrow-on-the-Hill,North Harrow,0
High Barnet,Totteridge and Whetstone,0
Baker Street,St. Johns Wood,0
Goodge Street,Warren Street,1
Holborn,Tottenham Court Road,1
Bow Road,Bromley-by-Bow,6
Monument,Liverpool Street,10
Colindale,Hendon Central,23
Brent Cross,Hendon Central,7
Moorgate,Old Street,1
Rayners Lane,West Harrow,1
Hounslow East,Osterley,0
Wimbledon,Wimbledon Park,2
Bond Street,Green Park,7
Debden,Theydon Bois,4
West Finchley,Woodside Park,2
Fulham Broadway,West Brompton,6
Covent Garden,Leicester Square,1
Covent Garden,Holborn,0
Preston Road,Wembley Park,2
Harrow-on-the-Hill,West Harrow,0
Finsbury Park,Seven Sisters,20
Bethnal Green,Liverpool Street,13
Highbury and Islington,Kings Cross St. Pancras,0
Lancaster Gate,Marble Arch,0
Gants Hill,Redbridge,9
Chigwell,Grange Hill,5
Kensal Green,Willesden Junction,0
Plaistow,Upton Park,5
Clapham Common,Clapham South,4
Stepney Green,Whitechapel,0
Monument,St. Pauls,0
Kennington,Oval,1
Baker Street,Great Portland Street,2
Canada Water,Canary Wharf,22
Chiswick Park,Turnham Green,5
Bethnal Green,Mile End,7
Tooting Bec,Tooting Broadway,3
Ealing Common,North Ealing,0
Finchley Central,Mill Hill East,5
Becontree,Dagenham Heathway,21
Gunnersbury,Kew Gardens,1
South Woodford,Woodford,4
Arnos Grove,Southgate,13
Blackfriars,Mansion House,3
Borough,Elephant and Castle,6
Chancery Lane,St. Pauls,0
Harrow-on-the-Hill,Northwick Park,0
Kennington,Waterloo,3
Shepherds Bush Market,Wood Lane,0
Blackhorse Road,Walthamstow Central,28
Gants Hill,Newbury Park,21
Ravenscourt Park,Stamford Brook,1
